City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Bow Island,CA,71.35,overcast clouds,49.8668,-111.3684,Pleasant View Lodge
614,Katsuura,JP,72.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
615,Rincon,US,76.86,overcast clouds,32.296,-81.2354,Days Inn Rincon
616,Pacific Grove,US,70.14,clear sky,36.6177,-121.9166,Lovers Point Inn
617,Effingham,US,76.84,overcast clouds,32.3669,-81.3332,Countryside Village
621,Cocobeach,GA,78.73,light rain,1.0002,9.5823,Hotel Esperance
622,Eyl,SO,78.35,broken clouds,7.9803,49.8164,Amiin Hotel
627,Sao Jose Da Coroa Grande,BR,75.74,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
628,Huarmey,PE,64.4,few clouds,-10.0681,-78.1522,Hotel Miramar
629,Angoche,MZ,75.61,scattered clouds,-16.2325,39.9086,Guest House HESADA
631,Owando,CG,74.7,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
632,Glenwood Springs,US,67.8,overcast clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
634,Cedar Rapids,US,72.52,overcast clouds,42.0083,-91.6441,DoubleTree by Hilton Hotel Cedar Rapids Convention Complex
636,Batemans Bay,AU,74.98,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
638,Dryden,CA,70.09,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
643,Sibolga,ID,76.51,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
644,Parkes,AU,65.35,overcast clouds,-33.1333,148.1833,Station Motel
646,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
650,Shintomi,JP,72.72,clear sky,32.0785,131.4723,ホテルスイート
651,Candelaria,PH,78.39,overcast clouds,13.9311,121.4233,Casa de Provincia
